x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
2.2286873017001262e-07,1308058.6310638164,2.494877142629289e-07,854079.4796815896,1.3591698473592333e-07,384572.57998113596,2.024487071149882e-07,425877.39551749354
2.2570522931699756e-07,1719468.9921033548,2.510623563981283e-07,1141502.0628513717,1.5282780900061907e-07,495969.76103075116,2.132878511645161e-07,547803.6301091816
2.2854172846398255e-07,2195898.912671947,2.526369985333277e-07,1491907.4864090648,1.6973863326531478e-07,624818.2023834024,2.2412699521404397e-07,687909.7314070864
2.3137822761096748e-07,2726219.4001201726,2.542116406685272e-07,1907999.6015480086,1.8664945753001052e-07,769371.9217711287,2.3496613926357184e-07,843879.7573524511
2.3421472675795247e-07,3292978.738981299,2.557862828037266e-07,2389456.6374040633,2.0356028179470623e-07,926552.6134787814,2.4580528331309974e-07,1011990.2594752457
2.370512259049374e-07,3873766.5994239636,2.57360924938926e-07,2932565.848970099,2.2047110605940195e-07,1092004.8531896241,2.5664442736262763e-07,1187282.206390788
2.398877250519224e-07,4443666.577097738,2.589355670741254e-07,3530179.0047854893,2.3738193032409766e-07,1260291.1339539513,2.6748357141215553e-07,1363902.8845830378
2.4272422419890733e-07,4978502.287567683,2.605102092093249e-07,4172006.9002906578,2.5429275458879343e-07,1425216.2034501922,2.783227154616834e-07,1535582.7068704173
2.455607233458923e-07,5458369.372007022,2.620848513445243e-07,4845207.803899791,2.7120357885348914e-07,1580251.5011179335,2.891618595112113e-07,1696185.2413727206
2.4839722249287726e-07,5870827.265886198,2.636594934797237e-07,5535169.819845645,2.8811440311818485e-07,1719015.4857764211,3.0000100356073917e-07,1840252.4764610438
2.5123372163986225e-07,6213132.817179847,2.652341356149231e-07,6226357.452576374,3.0502522738288057e-07,1835756.8348084998,3.10840147610267e-07,1963465.6049631275
2.540702207868472e-07,6493030.521066266,2.6680877775012253e-07,6903098.746760327,3.219360516475763e-07,1925786.4050995698,3.216792916597949e-07,2062955.4816403834
2.5690671993383217e-07,6727839.067395854,2.68383419885322e-07,7550230.746568191,3.38846875912272e-07,1985810.7364842158,3.325184357093228e-07,2137423.816944538
2.597432190808171e-07,6941844.732871247,2.699580620205214e-07,8153584.883889231,3.5575770017696776e-07,2014133.6665174977,3.433575797588507e-07,2187070.456191345
2.6257971822780204e-07,7162285.738544436,2.715327041557208e-07,8700358.650679711,3.7266852444166347e-07,2010710.9794265658,3.541967238083786e-07,2213356.2892207103
2.6541621737478703e-07,7414457.041071286,2.7310734629092024e-07,9179462.357614014,3.895793487063592e-07,1977062.7008916854,3.6503586785790645e-07,2218657.9407278383
2.68252716521772e-07,7716659.659012961,2.746819884261197e-07,9581933.670355264,4.064901729710549e-07,1916065.1587514528,3.7587501190743435e-07,2205883.711990894
2.7108921566875696e-07,8075837.0843933495,2.762566305613191e-07,9901474.885184528,4.234009972357506e-07,1831657.250183188,3.8671415595696224e-07,2178117.84894204
2.739257148157419e-07,8484747.100383991,2.7783127269651853e-07,10135100.103858074,4.403118215004464e-07,1728500.7375771194,3.975533000064901e-07,2138343.5994955874
2.767622139627269e-07,8921369.095164185,2.7940591483171794e-07,10283803.646468878,4.5722264576514204e-07,1611632.781520959,4.08392444056018e-07,2089269.7665396356
2.7959871310971187e-07,9350921.135347819,2.8098055696691736e-07,10353101.895006653,4.741334700298378e-07,1486141.8785147686,4.192315881055459e-07,2033257.829272184
2.824352122566968e-07,9730380.705474813,2.825551991021168e-07,10353277.304458305,4.910442942945336e-07,1356888.5155860651,4.300707321550738e-07,1972324.5920613783
2.8527171140368174e-07,10014855.078338144,2.8412984123731623e-07,10299173.399116479,5.079551185592292e-07,1228281.953728221,4.409098762046017e-07,1908184.0948203714
2.8810821055066673e-07,10164672.048700593,2.8570448337251565e-07,10209448.941441318,5.24865942823925e-07,1104116.6803152305,4.517490202541295e-07,1842293.9621487937
2.909447096976517e-07,10151811.28749384,2.8727912550771506e-07,10105284.936626283,5.417767670886207e-07,987467.0984925353,4.625881643036574e-07,1775883.2627033282
